step,vehicle_count,total_waiting,avg_travel_time,strategy
441,95,35,187.85211267605635,baseline
442,95,34,188.5211267605634,baseline
443,95,36,189.19014084507043,baseline
444,95,35,189.85915492957747,baseline
445,95,35,190.5281690140845,baseline
446,95,35,191.19718309859155,baseline
447,95,35,191.8661971830986,baseline
448,97,34,189.875,baseline
449,97,34,190.54861111111111,baseline
450,99,36,188.6164383561644,baseline
451,99,36,189.2945205479452,baseline
452,98,36,189.96575342465752,baseline
453,98,34,190.63698630136986,baseline
454,98,33,191.3082191780822,baseline
455,98,33,191.9794520547945,baseline
456,100,33,190.0608108108108,baseline
457,100,33,190.73648648648648,baseline
458,100,32,191.41216216216216,baseline
459,100,32,192.08783783783784,baseline
460,99,31,192.75675675675674,baseline
461,99,29,193.42567567567568,baseline
462,99,30,194.09459459459458,baseline
463,99,31,194.76351351351352,baseline
464,101,29,192.84,baseline
465,101,29,193.51333333333332,baseline
466,101,29,194.18666666666667,baseline
467,101,29,194.86,baseline
468,101,29,195.53333333333333,baseline
469,101,28,196.20666666666668,baseline
470,101,27,196.88,baseline
471,101,28,197.55333333333334,baseline
472,103,28,195.6315789473684,baseline
473,103,29,196.30921052631578,baseline
474,103,30,196.98684210526315,baseline
475,103,31,197.66447368421052,baseline
476,103,32,198.3421052631579,baseline
477,103,34,199.01973684210526,baseline
478,103,34,199.69736842105263,baseline
479,102,37,200.3684210526316,baseline
480,106,39,195.9102564102564,baseline
481,105,39,196.58333333333334,baseline
482,105,41,197.25641025641025,baseline
483,104,44,197.92307692307693,baseline
484,103,44,198.58333333333334,baseline
485,102,45,199.23717948717947,baseline
486,102,46,199.89102564102564,baseline
487,101,46,200.53846153846155,baseline
488,102,47,198.64556962025316,baseline
489,102,44,199.29113924050634,baseline
490,102,43,199.9367088607595,baseline
491,102,44,200.58227848101265,baseline
492,102,45,201.22784810126583,baseline
493,102,45,201.873417721519,baseline
494,102,44,202.51898734177215,baseline
495,100,43,203.15189873417722,baseline
496,102,42,201.25,baseline
497,102,42,201.8875,baseline
498,102,43,202.525,baseline
499,102,45,203.1625,baseline
500,102,47,203.8,baseline
501,102,49,204.4375,baseline
502,102,47,205.075,baseline
503,102,49,205.7125,baseline
504,103,50,203.8148148148148,baseline
505,103,49,204.4506172839506,baseline
506,103,50,205.08641975308643,baseline
507,103,51,205.72222222222223,baseline
508,103,49,206.35802469135803,baseline
509,103,49,206.99382716049382,baseline
510,105,49,205.109756097561,baseline
511,105,48,205.75,baseline
512,106,49,203.9156626506024,baseline
513,107,53,204.56024096385542,baseline
514,107,54,205.20481927710844,baseline
515,107,55,205.84939759036143,baseline
516,107,57,206.49397590361446,baseline
517,107,57,207.13855421686748,baseline
518,107,56,207.78313253012047,baseline
519,107,57,208.4277108433735,baseline
520,109,57,206.5952380952381,baseline
521,109,58,207.24404761904762,baseline
522,109,60,207.89285714285714,baseline
523,109,59,208.54166666666666,baseline
524,109,56,209.1904761904762,baseline
525,109,56,209.83928571428572,baseline
526,109,55,210.48809523809524,baseline
527,108,55,211.13095238095238,baseline
528,110,57,209.2941176470588,baseline
529,110,57,209.94117647058823,baseline
530,109,58,210.58235294117648,baseline
531,109,59,211.2235294117647,baseline
532,109,59,211.86470588235295,baseline
533,109,59,212.50588235294117,baseline
534,109,60,213.14705882352942,baseline
535,109,60,213.78823529411764,baseline
536,111,60,211.94767441860466,baseline
537,111,61,212.59302325581396,baseline
538,111,62,213.23837209302326,baseline
539,111,63,213.88372093023256,baseline
540,111,62,212.06896551724137,baseline
541,111,63,212.71264367816093,baseline
542,111,63,213.35632183908046,baseline
543,111,63,214.0,baseline
544,113,64,212.2159090909091,baseline
545,113,64,212.86363636363637,baseline
546,113,63,213.5056818181818,baseline
547,113,63,214.14772727272728,baseline
548,113,65,214.78977272727272,baseline
549,112,64,215.42613636363637,baseline
550,112,64,216.0625,baseline
551,111,66,216.6931818181818,baseline
552,113,65,214.8932584269663,baseline
553,113,65,215.52808988764045,baseline
554,113,65,216.1629213483146,baseline
555,112,66,216.7921348314607,baseline
556,112,65,217.42134831460675,baseline
557,110,66,218.03932584269663,baseline
558,110,67,218.6573033707865,baseline
559,110,64,219.27528089887642,baseline
560,110,62,217.45555555555555,baseline
561,111,60,218.07222222222222,baseline
562,110,61,218.68333333333334,baseline
563,110,62,219.29444444444445,baseline
564,110,63,219.90555555555557,baseline
565,110,63,220.51666666666668,baseline
566,110,62,221.12777777777777,baseline
567,110,61,221.73888888888888,baseline
568,112,62,219.91758241758242,baseline
569,112,61,220.53296703296704,baseline
570,113,62,218.7554347826087,baseline
571,113,63,219.375,baseline
572,113,62,219.9945652173913,baseline
573,113,63,220.6086956521739,baseline
574,113,64,221.22282608695653,baseline
575,113,63,221.83695652173913,baseline
576,115,64,220.06989247311827,baseline
577,115,66,220.68817204301075,baseline
578,115,68,221.30645161290323,baseline
579,115,68,221.9247311827957,baseline
580,115,69,222.54301075268816,baseline
581,115,68,223.16129032258064,baseline
